Tipo;Utilizador;Data de Início;Tempo de Toque;Duração;Data de Fim;Origem;Destino;Destino Final;Serviço;Telefone de Origem;Tipo de localização;Atendida;Tipo de Telefone;Contexto de Acesso da Chamada;Identificação Chamada;Identificador Global da Chamada;País;Causa de Não Atendimento;Total Chamadas da Origem
Chamada Não Atendida;260283/962878568;2025-03-10 19:03:45;0:00:08;;2025-03-10 19:03:53;'+35196762****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011741657300310190345000014041802';'649adee7-8cc0-4c67-875a-42c9f9f5265d';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-10 19:02:59;0:00:46;;2025-03-10 19:03:45;'+35196762****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011741695510310190259000014041802';'649adee7-8cc0-4c67-875a-42c9f9f5265d';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-03-02 13:40:51;0:00:04;;2025-03-02 13:40:56;'+35196559****';'+351962878568';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'63691010026213270302134051000014041800';'9504033a-dbeb-436c-ad04-7eb05a40a209';;Canceladas pela origem;1
Chamada efetuada;260283/962878547;2025-02-21 14:40:29;0:00:14;0:11:22;2025-02-21 14:52:06;'962878547';'+35196633****';'96633****';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;VoLTE;'00000011740195280221144029000014041800';'32f18c68-8097-4d0d-ae90-bf4a96fcc469';Portugal;;0
Chamada Não Atendida;260283/962878547;2025-02-21 13:16:12;0:00:36;;2025-02-21 13:16:48;'+35196633****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011740128450221131612000014041802';'e0dc2385-5b51-4e49-87c4-b32dbd767f8b';;Canceladas pela origem;3
Chamada Não Atendida;260283/962878568;2025-02-21 13:16:05;0:00:08;;2025-02-21 13:16:12;'+35196633****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011740150320221131605000014041802';'e0dc2385-5b51-4e49-87c4-b32dbd767f8b';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-02-21 13:15:18;0:00:46;;2025-02-21 13:16:04;'+35196633****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011740188630221131518000014041802';'e0dc2385-5b51-4e49-87c4-b32dbd767f8b';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-02-17 14:07:52;0:00:08;;2025-02-17 14:08:00;'+35191692****';'+351962878568';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'30891010026225160217140752000014041800';'b086ab1c-5d31-411c-b552-542e1b3a62be';;Sem Resposta;1
Chamada recebida;260283/400;2025-02-13 15:17:36;0:00:12;0:04:09;2025-02-13 15:21:56;'+35196978****';'+351234246184';'260283.1704827218a.geo1';Chamada voz;'260283.1704827218a.geo1';Nacional;Atendida;Geográfico IP;Terminal IP;'00000011739466030213151736000014041800';'700c9914-4691-4276-9d37-4d4d571e30ee';;;2
Chamada Não Atendida;260283/400;2025-02-13 15:06:50;0:00:58;;2025-02-13 15:07:48;'+35196978****';'+351234246184';'260283.1704827218a.geo1';Chamada voz;'260283.1704827218a.geo1';Nacional;Não atendida;Geográfico IP;Desconhecido;'00000011739405020213150650000014041800';'f021fc05-9b4c-4ec3-a7fb-af5d4008b4b0';;Canceladas pela origem;0
